lambda_delay,lambda_migration,lambda_resource,lambda_balance,migrate_threshold,cooldown_steps,max_candidates,d_max,queue_penalty_coeff,sensitivity_coeff,migration_state_coeff,migration_hops_coeff,migration_norm_factor,resource_tension_max,allocation_failure_penalty,mean_cost_margin_vs_nearest,mean_failed_gap_vs_nearest,mean_delay_gap_vs_nearest
0.2545454545454546,0.23636363636363636,0.3272727272727272,0.18181818181818182,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.212800067514564,-0.11875000000000013,0.02854330142382011
0.2553191489361702,0.23404255319148934,0.2978723404255319,0.2127659574468085,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.19999022402746,-0.11875000000000013,0.02854330142382011
0.2641509433962264,0.20754716981132074,0.33962264150943394,0.18867924528301888,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.194965788279319,-0.11875000000000013,0.02214812753445372
0.26666666666666666,0.19999999999999998,0.35555555555555557,0.17777777777777778,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.189939720560346,-0.11875000000000013,0.02214812753445372
0.2553191489361702,0.2765957446808511,0.34042553191489366,0.1276595744680851,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.183709455091758,-0.11875000000000013,0.03860507086432108
0.2553191489361702,0.2765957446808511,0.34042553191489366,0.1276595744680851,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.183709455091758,-0.11875000000000013,0.03860507086432108
0.2641509433962264,0.24528301886792453,0.33962264150943394,0.1509433962264151,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.17059676639687,-0.11875000000000013,0.02854330142382011
0.2641509433962264,0.24528301886792453,0.3018867924528302,0.18867924528301888,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.158850242689198,-0.11875000000000013,0.02854330142382011
0.26666666666666666,0.19999999999999998,0.3111111111111111,0.22222222222222224,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.152189990946596,-0.11875000000000013,0.026761464933798607
0.27450980392156865,0.2549019607843137,0.3529411764705882,0.11764705882352941,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.125083402446336,-0.11875000000000013,0.02854330142382011
0.27450980392156865,0.2549019607843137,0.3137254901960784,0.1568627450980392,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.112876230750174,-0.11875000000000013,0.02854330142382011
0.23529411764705882,0.21568627450980393,0.3529411764705882,0.19607843137254902,0.09,3,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.602956458863133,-0.11250000000000004,0.0391959427834081
0.23529411764705882,0.21568627450980393,0.3529411764705882,0.19607843137254902,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.602910674227445,-0.11250000000000004,0.038239857319666726
